theta1,theta2,gamma4,gamma1,gamma2,gamma3,l1
0.0,0.10649466622338281,0.6389679973402969,0.5149317826753482,0.9226475223966687,0.9245961451545582,208.63893046647158
0.0,0.10649466622338281,0.6922153304519882,0.5282569629806825,0.9251112845356069,0.9263939397639468,206.74177601928835
0.0,0.10649466622338281,0.7454626635636797,0.5415206863767089,0.9272189514856531,0.9272228070442754,204.84989439100124
0.0,0.10649466622338281,0.7987099966753711,0.5546888656842012,0.9289896270543446,0.9271131316182455,202.9687202535502
0.0,0.10649466622338281,0.8519573297870625,0.5677299362030089,0.9304439689403111,0.9260975039102819,201.10330522034369
0.0,0.10649466622338281,0.9052046628987539,0.5806146419925569,0.9316036041965867,0.924210059525626,199.25833935565583
0.0,0.10649466622338281,0.9584519960104453,0.5933158300354111,0.9324906578089452,0.9214859567691757,197.43817413110054
0.0,0.10649466622338281,1.0116993291221368,0.605808255810146,0.9331273789377726,0.9179609715212003,195.64684586134325
0.0,0.10649466622338281,1.0649466622338282,0.6180684023516941,0.9335358494932228,0.9136711896267312,193.88809896666012
0.0,0.10649466622338281,1.1181939953455196,0.6300743134097565,0.9337377612418676,0.9086527792497382,192.16540862718043
0.0,0.10649466622338281,1.171441328457211,0.6418054406001821,0.9337542490791548,0.9029418278002492,190.4820025662472
0.0,0.10649466622338281,1.2246886615689023,0.6532425038521696,0.9336057698617796,0.8965742304212018,188.8408818165379
0.0,0.10649466622338281,1.2779359946805937,0.6643673642364472,0.9333120177163262,0.8895856190864744,187.24484040800127
0.0,0.10649466622338281,1.331183327792285,0.6751629080548843,0.9328918683043662,0.8820113233618413,185.69648396781426
0.0,0.10649466622338281,1.3844306609039765,0.6856129411316395,0.9323633457289764,0.873886355461393,184.19824725922408
0.0,0.10649466622338281,1.437677994015668,0.6957020922111575,0.9317436069884409,0.8652454137343648,182.75241070113574
0.0,0.10649466622338281,1.4909253271273595,0.7054157245514042,0.9310489397246425,0.8561228998052016,181.36111592119002
0.0,0.10649466622338281,1.5441726602390509,0.7147398548306889,0.9302947699053842,0.8465529456468328,180.02638039183535
0.0,0.10649466622338281,1.5974199933507423,0.7236610787061872,0.9294956766260329,0.8365694475637094,178.75011119686192
0.0,0.10649466622338281,1.6506673264624336,0.7321665024413078,0.9286654118097474,0.8262061047432522,177.5341179652232
0.0,0.10649466622338281,1.703914659574125,0.740243680200878,0.9278169229590763,0.8154964604822544,176.38012499953385
0.0,0.10649466622338281,1.7571619926858164,0.7478805566913385,0.9269623775128789,0.8044739446233208,175.28978261265976
0.0,0.10649466622338281,1.8104093257975078,0.7550654150335852,0.9261131875413776,0.793171915946009,174.26467767476316
0.0,0.10649466622338281,1.8636566589091992,0.7617868299087485,0.9252800336968902,0.7816237034426001,173.3063433591519
0.0,0.10649466622338281,1.9169039920208906,0.7680336259600103,0.9244728876945839,0.7698626456998808,172.41626805629554
0.0,0.10649466622338281,1.970151325132582,0.7737948418064052,0.9237010324476324,0.7579221274682572,171.5959034162349
0.0,0.10649466622338281,2.0233986582442736,0.7790596999760462,0.9229730792564838,0.745835612677819,170.8466714594487
0.0,0.10649466622338281,2.076645991355965,0.7838175832874835,0.9222969814101563,0.733636673063235,170.16997068189684
0.0,0.10649466622338281,2.1298933244676563,0.7880580182455469,0.9216800436917905,0.7213590115803292,169.5671810611064
0.0,0.10649466622338281,2.1831406575793477,0.7917706662012607,0.921128927246843,0.7090364796656271,169.03966785354913
0.0,0.10649466622338281,2.236387990691039,0.7949453231613277,0.9206496492807614,0.6967030872734974,168.58878405501702
0.0,0.10649466622338281,2.2896353238027305,0.7975719291286553,0.9202475771944016,0.6843930045929283,168.21587137541124
0.0,0.10649466622338281,2.342882656914422,0.7996405881656635,0.9199274165829521,0.67214055404532,167.9222595629797
0.0,0.10649466622338281,2.3961299900261133,0.8011416002527597,0.9196931927722919,0.6599801911826602,167.70926389217456
0.0,0.10649466622338281,2.4493773231378047,0.8020655062482382,0.9195482254520067,0.6479464728301514,167.57818061433642
0.0,0.10649466622338281,2.502624656249496,0.8024031472748839,0.9194950960617855,0.6360740106986742,167.53028015545303
0.0,0.10649466622338281,2.5558719893611874,0.8021457399398231,0.9195356076152225,0.6243974085172419,167.5667978350005
0.0,0.10649466622338281,2.609119322472879,0.8012849684825385,0.9196707370344984,0.6129511808490501,167.68892187516968
0.0,0.10649466622338281,2.66236665558457,0.7998130955051869,0.9199005796073783,0.6017696512243306,167.89777847524098
0.0,0.10649466622338281,2.7156139886962616,0.797723091930243,0.9202242861899699,0.5908868278723012,168.19441373960376
0.0,0.10649466622338281,2.768861321807953,0.7950087874048454,0.9206399932433487,0.5803362548302331,168.57977227872527
0.0,0.10649466622338281,2.8221086549196444,0.7916650412522751,0.9211447468135345,0.570150836994026,169.05467235091828
0.0,0.10649466622338281,2.875355988031336,0.7876879343021557,0.9217344212616192,0.5603626375207886,169.6197774809554
0.0,0.10649466622338281,2.9286033211430276,0.7830749805019,0.9224036347166714,0.5510026471298921,170.2755645903187
0.0,0.10649466622338281,2.981850654254719,0.7778253569866089,0.9231456631923177,0.5421005251978,171.02228879627367
0.0,0.10649466622338281,3.0350979873664103,0.7719401498795041,0.9239523562639088,0.5336843138679895,171.85994519511345
0.0,0.10649466622338281,3.0883453204781017,0.7654226119868944,0.9248140577745005,0.525780127641299,172.78822813315494
0.0,0.10649466622338281,3.141592653589793,0.7582784272890501,0.9257195356444152,0.5184118224211023,173.806488685769
0.0,0.15974199933507421,0.0,0.35454452244538903,0.8858732221360891,0.8479768781105498,228.95525622181265
0.0,0.15974199933507421,0.05324733311169141,0.36506055727200876,0.8921190120295988,0.861063693187919,227.5237623283982
0.0,0.15974199933507421,0.10649466622338281,0.3761262311346019,0.898238046450727,0.873404930000344,226.00913794403087
0.0,0.15974199933507421,0.15974199933507421,0.38767863593053703,0.9041558589057134,0.8849101781766596,224.4195042567661
0.0,0.15974199933507421,0.21298933244676563,0.39965462386982215,0.9098104137042852,0.8955059184521197,222.76328214636425
0.0,0.15974199933507421,0.26623666555845704,0.41199198232421735,0.9151523217362159,0.9051353555561135,221.0490104398528
